paperId,proceedingId
bab5e35001757719d0f8338f94dde2860dae784a,d79a8caa-790d-4ccc-a90b-de0944c58e32
28b5df48dd23ffc7e7d64fc43e2a420e05ab88f8,6595e732-b8b5-40af-bc14-72662b4412c2
c96fc88631f2b8e2fe192027a8a237445635328c,e38392ee-5720-4c65-9574-5bd3a819a4b2
b795c74a0150ec091003ffbaa5bd7d74487c137b,60c79ce6-150e-45b8-b08e-18b76802b4aa
8698b15f3152427d1285a995af615fbe7be26c7b,95618e14-c923-4b7d-8923-1e26b250a89c
4b3ebac2e9415d7d1124d6677386f199ab9b3a5f,2a74136a-18a4-4000-a453-1345175fd276
95a7e4b4d535a9c61a6f466a090a4004ef151b50,2a74136a-18a4-4000-a453-1345175fd276
2327e4c7ee7658100dacd5409b2a7f5b49995070,fee7653d-8a46-4650-ac0e-bf51a22e4cdb
a0134a8e9224c0c22e0dd4751031cae494259973,6595e732-b8b5-40af-bc14-72662b4412c2
22448f32f76a37a422d65f022dcdc628d44d6e52,6595e732-b8b5-40af-bc14-72662b4412c2
28cc044d5ba938472bc53d87240583982ad21663,ec7aaeb8-cff6-49f6-b0e5-20fec0adb2e1
2737a61f6557fe7bf53a608c668de2eff1f582f0,ec7aaeb8-cff6-49f6-b0e5-20fec0adb2e1
f93dda715d6de6f3829b7da72a75c24e98e004ce,cd262e1b-8584-4665-acc3-575fe87f6f53
b05306f0b142e5afb3974b1b79996e5b82653662,ec7aaeb8-cff6-49f6-b0e5-20fec0adb2e1
35403052458ed97b33659df3fc930bcd8559d959,0d3345bb-974c-493c-b1b9-bff541ca4ff2
eebf1a2705bf4ac256d141b0067f1b0ea1dc7632,c911126e-f5df-446d-9e7e-0d82a210a3c8
9727206903eb40d4fa42606711bad3402f2ba9aa,03c0a16e-b581-49f8-bf2c-088bf25c412a
cf41991d89301c3c12420d150792cb1163999962,3e723eeb-1fc2-4b1e-b2a8-7bda7bef21bb
3590f4d44434c6a9d27441546cf6cbd003a632ce,11f19a81-0122-464b-a4e5-69dfd31cdfb3
58395c572e53d5aeee72f0771e339332e0ecb294,0a272968-e08e-4aea-a109-a1db757ffa46
1e2e3184da5f266572984df1f10cbdaa18f19820,81850f12-b509-4564-964b-ed2c3c02e8e4
7b4518707a9e79c0c037f61aecd064d930396122,23cce593-cab8-4a17-b9f9-199c372f55c1
9fb01cd85317f84fb4def982a81f19da2571bae1,182f3445-f27e-4926-9e32-805036020b40
c2872fb23b02597034a179f4adb82a00d6ffda8d,2ddb2813-c4f0-4ca1-a485-1c71500dc52d
81b7e5635241f0fae8eac9f703f604a1a0073038,ddece7c5-8caf-4cfe-85c6-f1d09a048568
ddeea66c9550f99f9a6768d4b240a9fe9957487d,43b34860-4ab1-4609-8f6e-ce569cb7b179
728211a7edfe536299670f34714de1b426d969dc,0ce9e8b7-f12b-4fdb-9962-828fc35823ed
c9304811f55fbafb33b4d28dc7b8601394c3310e,918e5b9d-02f9-4478-8c94-eefdb7c8c0d1
d05ce7d99e08bb03bfd05d0de2de844a71bde6cf,f5381953-0049-48a1-8cac-e304a5a07331
001e999b990a73428bf94bf758a5c510891ff8c0,1835900f-2738-4e3e-8426-3acacd74cb09
8c05273278e0eedd2c806215aa17cfab7fc1da0c,6b0c42d0-2cc2-4f5f-89c7-dcf04a4140b8
6641c841fdbb6019578f74f155614b8bfe5d0ba0,d27a3a65-bb18-421c-a384-b80f1d98a0fc
f2342368c2dbce3be28b5298f6fc67890416c405,08addca5-63d5-42ac-9374-953375e357e9
e44262fec6b4997b29a8207f4d580a63d31545c5,d27a3a65-bb18-421c-a384-b80f1d98a0fc
64dce74b6914efc4a40c11fae8a929499e004340,1dac05fa-a97b-48cc-bdd3-9b5038f7bb7a
05ce1b6b83f1162b9be57c038c7600541ac56166,8f006e89-1a06-44a0-aadc-c2c308f2f62f
e8cd4f85bd9948db0a3296c65301b278852f3a7b,84accc86-0458-40f3-9cb7-45085e57de44
762d3e4453e4173527d2e0436dd9d32a218076dc,11f19a81-0122-464b-a4e5-69dfd31cdfb3
81c103559f508ea2896a14f308a67be90b91706b,5939cc46-6406-4074-ab71-e69f365c5e7e
1c8b5b018f61c8170554a2cd38b689f3b1e5eab2,6f969de0-cd7a-4cb5-b05b-6eecfcdcce41
1d0d84a1f4e8de75151d88bd152816f18109d032,d753f385-7fba-4ad5-afb6-b00e91480432
3ca3f4273e70d719858550d1639ab28d3dc67a7a,823c3f85-2591-4447-8fb2-c8b4cca6f59d
e34ae7318201b7e903d6a75a558fe3eba4463729,e9bf44f6-d051-41d0-becc-1918f1339bc9
8e46b32f42aa8b180af260f4a4985fc6fb0feacc,8b1e1a47-2946-474c-a24c-70458980d48f
d7d69f36b3571fabf0a6931a636a3c4e086f8788,513558b8-8337-4f72-b379-076d7fbda1ab
aea731e7cf33aa3d482b13f42cedbc1adb3271c6,9d7a10d2-1830-41cf-8e9e-9917352c57c3
a85c45ce7c893388e8eafa8a653b042e1497db48,0defd585-7ecb-4d4a-a578-a93e76fcd227
20a3ed03888037e2802fa9abad02ffa0a8dcc228,6834e770-0937-4807-95af-cffd144c8ad0
8f99f5cb3950fcd1628c6a563be4b4fc4966fa66,656aefa6-54b8-4202-933b-88148bd39c16
633e2fbfc0b21e959a244100937c5853afca4853,233652ed-5b6f-4b90-811e-ed04ffd22dfb
d4ae73ac17c6bc8a537df2cebf50c9b4a6b420d5,520e915b-59a1-4d22-a326-5a6dff05a7db
9e195234688778b2beb3528632e78dbabf816332,74c79690-65cd-42bc-a7e6-08313b3ccaf5
4b4fa7f729dc52512b77c42e8da4b2fb0ceb54a5,520e915b-59a1-4d22-a326-5a6dff05a7db
818de553ecd306735971aba04bbfc29d17457084,cfcdbbe0-0805-4feb-9e92-1fe9f8ef6dfd
e968ae8e98fff9e28468383a1826fca4a2ae5245,bdcc3be7-0da8-453f-a7c4-04a0c8d8bf0d
4ab9195dc097db300bd805b49802a2340223208f,99673184-63f3-419a-a52f-cda6215e9bcb
37595f7a51982d776e57c7280b9445474d90f0be,0d7a413d-b611-4b0f-84bc-bc2aa2de4d17
f288e2238ac8725baa7ca9874bbc3fed1e89a632,7423d529-3eee-4d3c-be13-2d406eca0789
fae129338c0899576524506008427f64477d3967,ebe22293-be60-4f22-ae1d-d1567381cb98
0bf0da92f0dfe4771a3fbf3fddb376d10c1fd586,c57a191e-a5ed-49ac-98cf-501b7c7c9561
416e3ffff2fe2d43343f6b721721a482829f882d,0533817b-37cb-40c1-99ad-5ce12a93e200
5f6c1b0a780cbaae92f6169312b7441decc9d6ef,ac4a3652-6b80-449f-8727-64808ac8dbbc
04232990a6400c2627614ea4fbff28d978008df7,f86f0de1-c3c0-44e5-8333-11899648f498
af8a8dcb74561d52d904f7bc4afcc747e079b702,0b07df4a-2e89-46a4-9dbe-94fccbae97b8
5bf31dc4bd54b623008c13f8bc8954dc7c9a2d80,2622789c-8ecc-404d-a9d2-387be1cd46ed
77d0c4ed1c2d971b3e81fe7919be7a5a19309f40,0f5b26a7-0089-4c13-902d-74b9da17c769
b07c905e9798499f1c7a200af0e0670fcd6b8529,d4e02f8c-7029-4d62-8879-ad846ec036b8
697c163297167cbfc7de669e31539372a43b9773,680a2b7e-90d6-4634-acc6-f4b1d89c70bf
