authorId,name,affiliations
2110760082,Anurag Gupta,
144609382,Jane Macfarlane,
1991835,A. Kasarskis,
145866489,V. Lanfranchi,
52641915,Wei-Chen Wei,
104208482,E. E. Khoda,
40127802,Fei Wang,
49436640,B. Nyberg,
2145351138,Dennis Wang,
2207390880,Muhammad Ikram ul Haq,
2227632290,C. Arcangeletti,
1773962,Y. Patt,
35186904,Damian Roca,
2659056,A. Longheu,
50604395,Matt Jones,
97896969,A. Howe,
1398675311,B. Scholz-Reiter,
32637894,G. Choe,
2116486950,Yucheng Liu,
2306184736,Gino J. Mongelluzzo,
145646810,S. Brinkkemper,
4027961,M. Kosiborod,
2061175737,T. Webb,
46751990,Zheng Zheng,
2158501146,Pengguang Chen,
1400115225,A. Burton-Jones,
2111607364,Zhao-Min Chen,
1643795291,Francis Phil Carspecken,
2239534727,Xinyi Huang,
2090494531,Steffen Augsberg,
46280539,Anders D. Olofsson,
2081397355,C. M. Sperberg-McQueen,
2459012,S. Mika,
4871028,Gabriel Mckinsey,
46599630,K. Sachs,
28356724,O. Sushchenko,
7617146,Sutanay Choudhury,
143651019,N. Patterson,
2406046,Arash Mehrjou,
26011531,Erich Schubert,
1397357125,L. Oliveira-Santos,
46771815,P. Herman,
2114903116,Feng Zhou,
35381167,Nazanin Assempour,
2109980394,Dan Zhang,
2055841852,Jeremy Harper,
2372816,Ravikant Malpani,
144297666,Shuai Huang,
46172352,S. Lathrop,
2020120,Timothy Malkemus,
2275248137,Made-laine Boyd,
2008811899,Zhonghua Zhang,
51493202,Grant Allen,
2143186450,Runkun Liu,
50860365,T. Werge,
66495506,Alexander J. Boley,
2059199410,E. Chow,
2368421,Kishore Chaliparambil,
2128759,S. Lydersen,
33983381,J. Carroll,
2275289833,Jason Chen,
145431050,Mayank Singh,
145215321,P. Murphy,
145004899,N. Prakash,
1754743,H. Sips,
31479600,K. Knopf,
51219112,Feiran Xiang,
47789894,Jie Lu,
1720852203,Chengliang Chai,
34859193,W. Hubbard,
1404854494,I. Dukovska-Popovska,
12604592,G. Keeling,
91977480,Hongxin Ding,
2626328,Evan O. Paull,
1705077,P. Agarwal,
12755899,Abdelaziz Al Ouahabi,
2054530341,Mark Howard,
3428769,Victor Zhong,University of Washington
102268020,M.-C. Lin,
3435900,J. Reidenberg,
47481664,M. Shoaib,
82639359,F. Wunder,
143834142,Lian Duan,
145672396,P. Nagarajan,
2108334225,Jiuqing Liu,
2314921742,Takeshi Sakaki,
2287519282,Fahd Sabry,
51346979,Tahir Hameed,
3370196,D. Dinh,
5072749,A. A. van der Heijden,
